label|p_value|source|source_id|source_type|source_url|target_id|target_type
expressed_in|3.46482e-13|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0002106|uberon
expressed_in|3.66749e-07|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0002369|uberon
expressed_in|9.07124e-16|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001150|uberon
expressed_in|1.08863e-05|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001159|uberon
expressed_in|4.79051e-17|GTEx|ensg00000090316|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0000473|uberon
expressed_in|1.7607e-07|GTEx|ensg00000159692|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001323|uberon
expressed_in|6.58924e-07|GTEx|ensg00000159692|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0002046|uberon
expressed_in|2.34981e-05|GTEx|ensg00000159692|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001511|uberon
expressed_in|3.39959e-08|GTEx|ensg00000159692|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0000473|uberon
expressed_in|4.59051e-10|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001496|uberon
expressed_in|3.92733e-07|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0004550|uberon
expressed_in|4.37401e-07|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0006566|uberon
expressed_in|2.62482e-07|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0006631|uberon
expressed_in|3.43053e-06|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0008367|uberon
expressed_in|4.01025e-10|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0004648|uberon
expressed_in|2.75373e-06|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0008952|uberon
expressed_in|5.80689e-08|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0010414|uberon
expressed_in|2.47831e-06|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001323|uberon
expressed_in|2.03957e-10|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0002190|uberon
expressed_in|3.88162e-12|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0007610|uberon
expressed_in|5.75257e-06|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0013756|uberon
expressed_in|1.91004e-09|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0011907|uberon
expressed_in|2.56811e-07|GTEx|ensg00000163945|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0001159|uberon
expressed_in|1.01169e-21|GTEx|ensg00000179979|gene|https://forgedb.cancer.gov/api/gtex/v1.0/gtex.forgedb.csv.gz|uberon_0000945|uberon
